ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 6,GLY,1.0625,0.6875,-0.625,-5.0625,-7,7.5,-5.625,-76.125,-48.8125,25.0625,-52.4375,4.5,50.4375,12.8125,-13.1875,-15.75,2.25,3.6875,5.75,-3.8125,-0.125,-0.9375,2.625,5.875,3.125,0.8125,2,2.4375,0.625,-2.125,1,-1.8125,1.3125,6.625,11.9375,19.5,-3.9375,10.125,22.5625,25.0625,14.25,-1,3.5,-0.8125,-2.9375,-4.5625
Action 6,GLZ,1.0625,0.6875,-0.625,-5.0625,-7,7.5,-5.625,-76.125,-48.8125,25.0625,-52.4375,4.5,50.4375,12.8125,-13.1875,-15.75,2.25,3.6875,5.75,-3.8125,-0.125,-0.9375,2.625,5.875,3.125,0.8125,2,2.4375,0.625,-2.125,1,-1.8125,1.3125,6.625,11.9375,19.5,-3.9375,10.125,22.5625,25.0625,14.25,-1,3.5,-0.8125,-2.9375,-4.5625
Action 6,GRX,5.125,6.8125,4.375,-0.6875,-4,-2.875,-83.9375,-19.5,-45.5,46.0625,4.75,144.1875,77.0625,-45.5,-24.875,17.3125,-14.1875,3.4375,-9.125,1.625,2.5625,0.75,10.3125,5.625,-7.1875,8.375,5.875,-2.4375,-3.8125,5,-4.8125,2.75,-1.125,-9.25,-21.125,-23.4375,8.5,19.125,5.75,-15.6875,-12.75,5.1875,-2.25,0.0625,0.6875,2.375
Action 6,GRY,5.125,6.8125,4.375,-0.6875,-4,-2.875,-83.9375,-19.5,-45.5,46.0625,4.75,144.1875,77.0625,-45.5,-24.875,17.3125,-14.1875,3.4375,-9.125,1.625,2.5625,0.75,10.3125,5.625,-7.1875,8.375,5.875,-2.4375,-3.8125,5,-4.8125,2.75,-1.125,-9.25,-21.125,-23.4375,8.5,19.125,5.75,-15.6875,-12.75,5.1875,-2.25,0.0625,0.6875,2.375
Action 6,GRZ,5.125,6.8125,4.375,-0.6875,-4,-2.875,-83.9375,-19.5,-45.5,46.0625,4.75,144.1875,77.0625,-45.5,-24.875,17.3125,-14.1875,3.4375,-9.125,1.625,2.5625,0.75,10.3125,5.625,-7.1875,8.375,5.875,-2.4375,-3.8125,5,-4.8125,2.75,-1.125,-9.25,-21.125,-23.4375,8.5,19.125,5.75,-15.6875,-12.75,5.1875,-2.25,0.0625,0.6875,2.375
Action 6,ORL,3.374859,3.385261,3.381858,3.364504,3.355526,3.36473,3.574224,3.503902,3.445268,3.410339,3.326159,3.331454,3.361936,3.336197,3.328068,3.338989,3.37129,3.400324,3.442677,3.45114,3.462105,3.464503,3.465676,3.466744,3.465594,3.465102,3.46476,3.466254,3.46669,3.467283,3.468669,3.468455,3.469256,3.461675,3.444653,3.425185,3.426196,3.387769,3.377907,3.330995,3.310406,3.268641,3.222953,3.204716,3.1975,3.20112
Action 6,OPL,3.014474,3.016499,3.00369,2.974676,2.955587,2.955915,3.128394,3.538873,4.081869,4.244842,3.724364,3.28328,3.273511,3.343402,3.317575,3.258271,3.259096,3.266772,3.262933,3.262711,3.263676,3.266899,3.269947,3.274486,3.276695,3.283464,3.291426,3.311119,3.324882,3.331697,3.3295,3.328911,3.324261,3.319499,3.304935,3.286536,3.210558,3.143461,3.090556,3.049865,3.024708,3.002132,2.985132,2.97747,2.973597,2.970978
Action 6,OYL,6.071153,6.062679,6.066291,6.072925,6.073722,6.059807,5.905111,5.866914,5.830707,5.781683,5.857491,5.85138,5.850811,5.90979,5.921305,5.861474,5.820344,5.794839,5.764871,5.753762,5.730797,5.728234,5.734263,5.746969,5.753242,5.760655,5.769103,5.779146,5.782228,5.780417,5.778049,5.777162,5.778968,5.794743,5.830862,5.890196,5.931443,5.965669,6.023267,6.123141,6.182467,6.229633,6.282487,6.302321,6.306184,6.293069
Action 6,ORR,6.694043,6.679145,6.674584,6.673824,6.67564,6.67908,6.646914,6.56507,6.592389,6.610155,6.681806,6.800576,6.871495,6.755383,6.754653,6.729252,6.729982,6.711503,6.681085,6.664288,6.660146,6.656778,6.652772,6.634863,6.617492,6.617389,6.607484,6.603931,6.598794,6.595715,6.590002,6.591755,6.579665,6.582001,6.596344,6.594303,6.609472,6.637742,6.652006,6.681513,6.703943,6.752192,6.784085,6.795241,6.798059,6.784538
Action 6,OPR,3.069414,3.077154,3.073946,3.064586,3.051952,3.049402,3.099598,3.319467,3.99888,4.407297,4.326005,3.904696,3.322324,3.348702,3.365199,3.321337,3.322971,3.34163,3.393275,3.406619,3.423628,3.437529,3.462094,3.488728,3.499956,3.503618,3.510596,3.518995,3.531256,3.530009,3.521176,3.515105,3.511139,3.503948,3.494855,3.44562,3.378643,3.308067,3.248097,3.188146,3.151456,3.111671,3.094109,3.086584,3.088348,3.095886
