ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 66,EMG4L,-1,0,-1,-2,-1,-2,1,2,1,-1,2,11,0,-9,-10,7,19,5,38,-7,16,0,8,-5,10,-7,-10,-2,10,-1,4,-2,-2,-1,-2,0,-1,-3,-1,-1,-2,-1,-2,-2,-1,0
Action 66,EMG5L,0,-1,-2,-2,-1,-1,0,0,2,-44,8,21,-30,5,-15,49,-15,-5,9,-2,27,64,27,-31,-1,-21,-25,-28,-4,-3,-1,2,-1,1,-1,-2,-2,-1,0,0,1,1,0,-1,-2,0
Action 66,EMG6L,-1,-2,-3,-2,0,-3,0,2,-1,-1,-3,8,6,0,5,21,-14,9,10,-22,12,21,-43,-25,8,-13,-3,-1,-1,-10,-3,-3,-3,1,-4,-3,-3,-2,2,0,0,-1,0,-1,-1,0
Action 66,EMG7L,-1,0,-1,0,-1,-1,-8,-4,-1,-6,5,6,-19,-9,-20,12,-7,35,9,9,28,26,36,54,-19,-3,-26,-63,28,-4,-3,-4,4,7,-5,-1,-2,-2,1,-3,1,-2,-1,1,0,0
Action 66,EMG0R,-3,-2,-1,-1,0,-1,-2,0,-3,-2,-2,-1,-2,-2,-2,0,-2,2,1,3,-7,14,-18,8,46,39,21,9,5,18,13,7,-5,-4,-1,-1,0,-2,0,-1,0,1,-3,-2,1,0
Action 66,EMG1R,1,-1,0,0,1,-1,0,-2,0,-1,-1,-1,-1,-2,-2,-3,-1,-3,-3,0,-4,-10,32,12,11,-13,12,7,-19,-26,7,0,-1,0,2,-3,-1,-1,-1,-1,0,-3,-1,-3,-1,0
Action 66,EMG2R,78,0,0,2,64,-7,77,-3,-1,-4,-2,-5,2,-2,-6,-11,-32,-29,-72,61,-19,66,-27,-8,12,41,6,-3,22,14,-6,14,-11,1,2,-53,-2,1,3,-8,-2,-17,1,7,3,0
Action 66,EMG3R,-1,0,0,-1,1,-3,1,-2,0,-1,-2,-6,-6,6,6,1,-7,10,1,11,-17,11,-5,32,27,25,-4,4,-20,-3,-10,3,-10,-2,5,-3,0,-1,1,-2,-2,-3,1,-1,1,0
Action 66,EMG4R,-2,0,11,-3,-16,6,0,0,9,-4,14,-13,-10,25,-3,4,43,10,30,4,-30,4,1,2,-14,19,3,-6,-24,27,-6,1,-9,0,52,-5,1,-2,17,15,-8,-1,0,-5,20,0
Action 66,EMG5R,0,3,3,-1,-11,-6,-2,-6,3,0,5,3,-4,6,7,-13,-1,-38,10,-34,-15,-19,-9,-26,9,22,13,-8,29,-1,1,1,-10,3,13,-4,-3,-4,-11,8,-5,0,0,0,19,0
