ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 33,EMG3R,-11,-67,-3,-65,7,-14,-14,8,-74,17,-8,3,18,-56,-38,36,-8,32,-4,-19,8,5,15,-81,-40,-8,-11,0,-2,0,2,-7,1,-2,-6,4,2,2,-2,1,1,-2,-1,-4,-2,0
Action 33,EMG4R,-3,-23,-68,-58,56,-9,-13,-5,-67,3,-12,-5,0,0,-15,11,-2,1,1,-10,3,11,7,-39,-21,3,0,-2,-6,3,3,-7,0,-1,-1,3,4,1,-1,0,-1,-2,0,-7,-4,0
Action 33,EMG5R,3,-14,-58,-19,45,-1,-8,-2,-53,13,1,-10,-8,1,-10,13,1,-5,5,-4,1,6,4,-23,-15,3,0,-2,-4,2,-1,-8,-3,-5,-5,2,-2,2,-3,1,-3,3,-3,-7,-1,0
Action 33,EMG6R,-4,-8,-26,3,33,0,4,-1,-31,18,11,-10,0,3,-17,10,6,-3,2,-5,-1,3,4,-12,-6,8,1,-8,4,2,-8,-2,-8,-14,-27,-8,-5,-2,-3,4,-21,16,-4,-2,1,0
Action 33,EMG7R,-6,-6,-27,-9,23,2,-1,-2,-21,15,-6,-15,-8,4,-2,5,1,1,2,-5,1,1,1,-12,-8,1,-2,-5,-5,8,-9,-14,0,2,-30,8,3,1,-5,7,-4,17,5,4,0,0
Action 33,GLX,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0
Action 33,GLY,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0
Action 33,GLZ,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0
Action 33,GRX,4.6875,-11.625,-19.8125,-14.25,-43.125,-15.25,47.4375,48,-12.625,-138.3125,-26.5,106.5625,114.9375,-77.5,-69,11.875,49.0625,-8.25,-8.25,13,3.0625,53.5625,108.4375,44.875,-10.625,20.375,-33.5625,-24.875,-29.6875,-14.8125,11.125,9.125,-1.375,-4,-9.0625,-10.4375,-4.25,12.125,-2.125,-3.75,-6.5,2.1875,-0.375,-0.25,-0.25,0
Action 33,GRY,4.6875,-11.625,-19.8125,-14.25,-43.125,-15.25,47.4375,48,-12.625,-138.3125,-26.5,106.5625,114.9375,-77.5,-69,11.875,49.0625,-8.25,-8.25,13,3.0625,53.5625,108.4375,44.875,-10.625,20.375,-33.5625,-24.875,-29.6875,-14.8125,11.125,9.125,-1.375,-4,-9.0625,-10.4375,-4.25,12.125,-2.125,-3.75,-6.5,2.1875,-0.375,-0.25,-0.25,0
Action 33,GRZ,4.6875,-11.625,-19.8125,-14.25,-43.125,-15.25,47.4375,48,-12.625,-138.3125,-26.5,106.5625,114.9375,-77.5,-69,11.875,49.0625,-8.25,-8.25,13,3.0625,53.5625,108.4375,44.875,-10.625,20.375,-33.5625,-24.875,-29.6875,-14.8125,11.125,9.125,-1.375,-4,-9.0625,-10.4375,-4.25,12.125,-2.125,-3.75,-6.5,2.1875,-0.375,-0.25,-0.25,0
