ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46
Action 188,GLX,-0.1875,0.375,0.5,-0.125,1.625,2.875,56.8125,56.875,129.0625,97.75,53.125,3.625,1.375,2.0625,-3.8125,-3.6875,-4.5,0.1875,5.625,4.5625,1.3125,2.375,0.1875,5.1875,3.5,-2.4375,-1.375,2.25,3.375,3.0625,-8.625,8.4375,-18.375,-15.4375,-42.3125,-48.25,-78.1875,-77.3125,-82.9375,-58.8125,-22.9375,-14.1875,-6.1875,12.5625,8.4375,-1.3125
Action 188,GLY,-0.1875,0.375,0.5,-0.125,1.625,2.875,56.8125,56.875,129.0625,97.75,53.125,3.625,1.375,2.0625,-3.8125,-3.6875,-4.5,0.1875,5.625,4.5625,1.3125,2.375,0.1875,5.1875,3.5,-2.4375,-1.375,2.25,3.375,3.0625,-8.625,8.4375,-18.375,-15.4375,-42.3125,-48.25,-78.1875,-77.3125,-82.9375,-58.8125,-22.9375,-14.1875,-6.1875,12.5625,8.4375,-1.3125
Action 188,GLZ,-0.1875,0.375,0.5,-0.125,1.625,2.875,56.8125,56.875,129.0625,97.75,53.125,3.625,1.375,2.0625,-3.8125,-3.6875,-4.5,0.1875,5.625,4.5625,1.3125,2.375,0.1875,5.1875,3.5,-2.4375,-1.375,2.25,3.375,3.0625,-8.625,8.4375,-18.375,-15.4375,-42.3125,-48.25,-78.1875,-77.3125,-82.9375,-58.8125,-22.9375,-14.1875,-6.1875,12.5625,8.4375,-1.3125
Action 188,GRX,0.8125,0.5625,-0.0625,-0.0625,0.375,-2.0625,-5.1875,-11.875,-12.625,-13.1875,-2.625,4.4375,6.875,9.6875,9.1875,5.5,-0.125,0.8125,-1.8125,-4.9375,2.375,-0.5,-1.5,3.6875,-2.3125,-1.25,0.9375,0.125,-2.625,3.6875,8.75,8.5625,10.5625,0.8125,-1.0625,-1.3125,-4.3125,-2.1875,-2.125,-0.125,-2.25,-1.1875,-1.1875,0.8125,-0.125,1.875
Action 188,GRY,0.8125,0.5625,-0.0625,-0.0625,0.375,-2.0625,-5.1875,-11.875,-12.625,-13.1875,-2.625,4.4375,6.875,9.6875,9.1875,5.5,-0.125,0.8125,-1.8125,-4.9375,2.375,-0.5,-1.5,3.6875,-2.3125,-1.25,0.9375,0.125,-2.625,3.6875,8.75,8.5625,10.5625,0.8125,-1.0625,-1.3125,-4.3125,-2.1875,-2.125,-0.125,-2.25,-1.1875,-1.1875,0.8125,-0.125,1.875
Action 188,GRZ,0.8125,0.5625,-0.0625,-0.0625,0.375,-2.0625,-5.1875,-11.875,-12.625,-13.1875,-2.625,4.4375,6.875,9.6875,9.1875,5.5,-0.125,0.8125,-1.8125,-4.9375,2.375,-0.5,-1.5,3.6875,-2.3125,-1.25,0.9375,0.125,-2.625,3.6875,8.75,8.5625,10.5625,0.8125,-1.0625,-1.3125,-4.3125,-2.1875,-2.125,-0.125,-2.25,-1.1875,-1.1875,0.8125,-0.125,1.875
Action 188,ORL,6.914358,6.913268,6.913268,6.913268,6.916382,6.915182,6.910048,6.844221,6.685815,6.671668,6.641329,6.625824,6.636966,6.664221,6.685383,6.703596,6.7173,6.763165,6.764393,6.737888,6.737548,6.764008,6.777611,6.767045,6.753644,6.756576,6.774058,6.761045,6.752643,6.743586,6.697282,6.654478,6.603628,6.599966,6.634652,6.651475,6.698538,6.776571,6.870363,6.928256,6.943012,6.894705,6.858891,6.844326,6.946479,6.926651
Action 188,OPL,2.992726,2.992803,2.992803,2.992803,2.992492,2.99271,3.013167,3.078246,3.504184,3.912146,4.373266,4.9599,5.311847,5.54267,5.644804,5.672657,5.684257,5.705126,5.690901,5.675359,5.668915,5.672854,5.677496,5.66858,5.653738,5.655819,5.663168,5.658121,5.64956,5.638136,5.559565,5.402526,4.950987,4.505816,4.099137,3.759463,3.43609,3.255471,3.132064,3.053672,3.00901,3.006547,3.004528,3.000379,2.997805,2.99398
Action 188,OYL,5.683834,5.685027,5.685027,5.685027,5.683491,5.68806,5.765162,5.900638,6.364192,6.650221,6.901726,7.183587,7.337611,7.440328,7.516355,7.58266,7.633497,7.763253,7.720737,7.669448,7.676864,7.742982,7.765416,7.714647,7.678467,7.709645,7.759164,7.727063,7.695115,7.668561,7.582486,7.428169,7.198929,7.013326,6.845943,6.679636,6.416567,6.179261,5.924642,5.736847,5.633083,5.639833,5.661306,5.678185,5.624252,5.640252
Action 188,ORR,2.99909,2.998696,2.99909,2.998696,2.998584,2.997537,2.99073,2.982051,2.979073,2.97723,2.970451,2.967974,2.950898,2.941649,2.938873,2.942993,2.951469,2.952653,2.951083,2.952124,2.951437,2.950377,2.954149,2.956389,2.948773,2.951549,2.954269,2.956736,2.954835,2.951896,2.967983,2.978146,2.981414,2.974142,2.974066,2.978065,2.976708,2.972456,2.970896,2.972159,2.966431,2.964004,2.959274,2.95269,2.952481,2.954248
