ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47
Action 197,GLX,0.4375,-0.6875,0.3125,-1.125,-0.625,0.25,36.5625,78.6875,171.9375,189.8125,82.5625,17.9375,6.1875,13.4375,15.9375,10.375,14,8.625,8.5,12.4375,46.9375,65.5,64.875,78.75,58.8125,29.9375,15.6875,4,-0.25,-5.75,-10.0625,-26.0625,-38.25,-38.25,-38.25,-12,-87.1875,-109.875,-52.625,-8.0625,7.875,2.625,4.875,-3,1.5625,0,0
Action 197,GLY,0.4375,-0.6875,0.3125,-1.125,-0.625,0.25,36.5625,78.6875,171.9375,189.8125,82.5625,17.9375,6.1875,13.4375,15.9375,10.375,14,8.625,8.5,12.4375,46.9375,65.5,64.875,78.75,58.8125,29.9375,15.6875,4,-0.25,-5.75,-10.0625,-26.0625,-38.25,-38.25,-38.25,-12,-87.1875,-109.875,-52.625,-8.0625,7.875,2.625,4.875,-3,1.5625,0,0
Action 197,GLZ,0.4375,-0.6875,0.3125,-1.125,-0.625,0.25,36.5625,78.6875,171.9375,189.8125,82.5625,17.9375,6.1875,13.4375,15.9375,10.375,14,8.625,8.5,12.4375,46.9375,65.5,64.875,78.75,58.8125,29.9375,15.6875,4,-0.25,-5.75,-10.0625,-26.0625,-38.25,-38.25,-38.25,-12,-87.1875,-109.875,-52.625,-8.0625,7.875,2.625,4.875,-3,1.5625,0,0
Action 197,GRX,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,0,0
Action 197,GRY,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,0,0
Action 197,GRZ,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,-3.0625,0,0
Action 197,ORL,6.784116,6.784399,6.78392,6.78495,6.784666,6.784666,6.79984,6.768465,6.712558,6.708973,6.715543,6.698728,6.699776,6.737902,6.777562,6.810751,6.841991,6.851248,6.854803,6.863562,6.932058,6.991935,7.015246,7.105216,7.132659,7.15721,7.162537,7.161294,7.160087,7.144823,7.119774,7.049865,6.966516,6.966516,6.966516,6.796965,6.767857,6.855827,6.901577,6.815889,6.794415,6.803493,6.818548,6.8227,6.814809,0,0
Action 197,OPL,3.058846,3.058725,3.058123,3.058071,3.058192,3.058192,3.063059,3.176023,3.385491,3.485214,4.169858,4.781963,5.051236,5.367103,5.487119,5.587349,5.659139,5.664075,5.667646,5.654304,5.596543,5.554311,5.547524,5.534577,5.547004,5.583666,5.598225,5.611608,5.614694,5.608636,5.586117,5.508333,5.233016,5.233016,5.233016,3.874256,3.345946,3.04903,2.996692,3.032053,3.061947,3.053696,3.041475,3.040615,3.041718,0,0
Action 197,OYL,5.123939,5.123538,5.123457,5.122377,5.12278,5.12278,5.141981,5.349475,5.672895,5.802758,6.347456,6.639345,6.747011,6.843963,6.887093,6.924028,6.935515,6.93025,6.919497,6.899691,6.846942,6.733985,6.606718,6.245112,6.089319,5.985688,5.957029,5.928502,5.9224,5.907076,5.886528,5.846916,5.793879,5.793879,5.793879,5.753027,5.526079,5.174558,5.017857,5.068495,5.102784,5.102924,5.093653,5.091938,5.099777,0,0
Action 197,ORR,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,2.98388,0,0
Action 197,OPR,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,3.078609,0,0
Action 197,OYR,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,4.052651,0,0
Action 198,ALX,0.9243164,0.9228516,0.9238281,0.9238281,0.9243164,0.9228516,0.934082,0.9794922,0.8867188,0.7016602,0.5522461,0.3535156,0.105957,0.015625,-0.152832,-0.3056641,-0.3056641,-0.3618164,-0.3056641,-0.1201172,-0.2158203,-0.3828125,-0.5678711,-0.6552734,-0.5786133,-0.527832,-0.4301758,-0.3789063,-0.2714844,-0.006835938,-0.1679688,0.009277344,0.4931641,0.8989258,1.141602,1.094238,0.9501953,0.9179688,0.9262695,0.9174805,0.9199219,0.9155273,0.9228516,0.9140625,0.9389648,0,0
