ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47,time48,time49,time50,time51,time52,time53,time54,time55,time56,time57,time58,time59,time60,time61,time62,time63,time64,time65,time66,time67,time68,time69,time70,time71,time72,time73,time74,time75,time76,time77,time78,time79,time80,time81,time82,time83,time84,time85
Action 11,ALY,0.7216797,0.7158203,0.7241211,0.7241211,0.7080078,0.621582,0.4741211,0.4741211,0.3217773,0.2470703,0.1899414,0.1899414,0.1899414,0.2197266,0.2197266,0.1791992,0.1777344,0.1777344,0.2011719,0.1865234,0.1616211,0.1040039,0.1757813,0.394043,0.394043,0.171875,0.1015625,0.2495117,0.2495117,0.296875,0.4038086,0.4023438,0.378418,0.4013672,0.387207,0.387207,0.3964844,0.3666992,0.3710938,0.3549805,0.3276367,0.3066406,0.3095703,0.3081055,0.3383789,0.3183594,0.300293,0.5693359,0.5839844,0.6831055,0.8164063,0.90625,0.7792969,0.7915039,0.6230469,0.5185547,0.5483398,0.5024414,0.4082031,0.4238281,0.4394531,0.4389648,0.3115234,0.2700195,0.2700195,0.2827148,0.3154297,0.2998047,0.3037109,0.2807617,0.2695313,0.2675781,0.2734375,0.265625,0.2514648,0.2670898,0.2734375,0.2602539,0.2670898,0.2709961,0.2724609,NaN,NaN,NaN,NaN
Action 11,ALZ,0.4746094,0.6054688,0.6655273,0.6655273,0.6933594,0.8134766,0.6098633,0.6098633,0.5112305,0.425293,0.2241211,0.2241211,0.2241211,0.4052734,0.4052734,0.5214844,0.5141602,0.5141602,0.4824219,0.4506836,0.4082031,0.3535156,0.6123047,0.8691406,0.8691406,0.8178711,0.8266602,0.9936523,0.9936523,0.902832,0.9125977,0.9301758,0.9604492,0.9892578,0.9765625,0.9765625,0.9804688,0.9511719,0.909668,0.8461914,0.8164063,0.7739258,0.6601563,0.5151367,0.5371094,0.5751953,0.5786133,0.6459961,0.6733398,0.7475586,0.6655273,0.543457,0.4443359,0.2944336,0.2827148,0.2915039,0.2851563,0.2763672,0.2583008,0.2729492,0.2241211,0.1206055,0.05615234,0.09814453,0.09814453,0.1206055,0.1708984,0.1889648,0.1884766,0.1425781,0.1118164,0.1103516,0.09814453,0.09130859,0.08007813,0.08154297,0.09179688,0.09912109,0.109375,0.1235352,0.1103516,NaN,NaN,NaN,NaN
Action 11,ARX,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,0.940918,NaN,NaN,NaN,NaN
Action 11,ARY,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,-0.3310547,NaN,NaN,NaN,NaN
Action 11,ARZ,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,0.1015625,NaN,NaN,NaN,NaN
Action 11,EMG0L,-15,7,4,22,-6,0,-11,-23,12,-15,32,20,29,29,-20,17,-3,4,-8,-4,-6,-2,-19,-20,-10,-22,24,13,-20,5,-10,-2,25,3,24,24,19,-8,2,-3,-10,-10,-5,-5,-7,9,-9,-1,-3,-3,0,2,6,0,-5,-16,-6,2,1,-2,4,-6,3,2,2,-2,-10,-1,-7,0,-2,-1,-2,0,1,-1,-1,0,0,-3,-4,NaN,NaN,NaN,NaN
Action 11,EMG1L,-11,3,0,3,6,1,1,-10,11,8,-2,-19,30,19,-8,-3,0,13,-6,-6,1,-5,-17,-28,-7,-28,42,18,-25,0,-8,-13,32,15,38,38,8,-7,-10,-17,-14,-16,-8,5,-8,1,-3,-3,-2,-2,1,-1,-3,2,-3,-2,-1,0,-3,2,0,1,0,0,0,1,-1,-1,-2,0,0,1,-1,0,2,-1,0,0,-1,-1,-1,NaN,NaN,NaN,NaN
Action 11,EMG2L,-18,9,19,0,14,-5,3,-18,5,-8,-9,-23,24,13,-14,-12,4,1,3,-1,1,-11,-8,-12,-10,-3,11,-8,-22,7,-18,-1,-2,-2,6,6,-6,6,3,-7,-2,-6,6,-3,-6,-3,-2,-1,-4,-5,1,0,-2,0,-1,-2,1,1,0,-2,3,-2,-1,0,0,1,-2,-2,0,-1,-1,1,-2,0,0,-3,-1,-1,1,-2,-2,NaN,NaN,NaN,NaN
Action 11,EMG3L,-9,10,2,21,45,-11,-5,17,-12,-30,-28,-38,-27,25,-30,-6,28,-9,7,2,37,-40,-47,-24,50,-5,15,-23,-70,27,-61,-18,-5,-14,84,84,-38,25,89,-11,-24,8,-9,-2,-8,-14,7,-3,-13,-6,0,1,-3,-1,-2,0,-1,-1,-3,1,1,0,0,-1,-1,-2,-1,-1,-2,0,0,0,-3,0,1,-1,-2,-1,-1,0,-2,NaN,NaN,NaN,NaN
Action 11,EMG4L,-6,13,2,-5,21,-17,-8,5,-24,-19,9,-1,-1,20,-9,-14,8,-29,10,3,-1,52,-40,-17,19,-3,13,-12,-22,43,-24,-57,-32,0,31,31,8,29,-7,2,-5,-10,-9,3,3,-13,2,0,-1,-1,1,0,-1,0,-6,-4,-1,-3,-2,0,-11,-4,-4,-4,-4,-2,0,-3,-1,-8,-2,-2,1,1,-1,7,-5,-3,-1,-1,-1,NaN,NaN,NaN,NaN
