ActionCount,Sensor,time1,time2,time3,time4,time5,time6,time7,time8,time9,time10,time11,time12,time13,time14,time15,time16,time17,time18,time19,time20,time21,time22,time23,time24,time25,time26,time27,time28,time29,time30,time31,time32,time33,time34,time35,time36,time37,time38,time39,time40,time41,time42,time43,time44,time45,time46,time47,time48,time49,time50,time51,time52,time53,time54,time55,time56,time57,time58,time59,time60,time61,time62,time63,time64,time65,time66,time67,time68,time69,time70,time71,time72,time73,time74,time75,time76,time77,time78,time79,time80,time81,time82,time83,time84
Action 12,GLZ,0.75,1.25,3.25,-7.0625,-13.5625,-17.0625,-17.0625,10.375,20.5625,24.5625,33.5625,56.375,56.375,68,68.875,78.25,84,80.9375,80.9375,74.9375,64.125,38.5,25.25,26.1875,12.25,10.75,9,4.6875,-3.1875,-3.1875,-0.5625,-1.5625,-4.4375,-4.4375,-25.4375,-33.1875,-24.9375,44.375,2.375,-62.9375,-70.1875,11.625,-3.625,-10.1875,8,-6.375,4.9375,4.1875,1.3125,7.1875,9.6875,6.5,15.6875,0.625,-19.4375,-48,-63.75,-42.125,-34.25,-49.8125,-77.6875,-91.1875,-81,-67.75,-59.75,-92.1875,-101.3125,-23.25,8.8125,22.6875,27.3125,21.625,9.1875,6.125,13.875,10.125,8.75,9.75,7.0625,5,NaN,NaN,NaN,NaN
Action 12,GRX,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,NaN,NaN,NaN,NaN
Action 12,GRY,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,NaN,NaN,NaN,NaN
Action 12,GRZ,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,0.3125,NaN,NaN,NaN,NaN
Action 12,ORL,6.902174,6.901878,6.905324,6.903223,6.897285,6.877445,6.877445,6.87732,6.886574,6.895977,6.92558,6.96473,6.96473,7.01871,7.04821,7.145308,7.26509,7.305678,7.305678,7.37692,7.443826,7.488519,7.516734,7.531385,7.560809,7.570774,7.611533,7.627725,7.623056,7.623056,7.607698,7.627765,7.587104,7.587104,7.470226,7.443434,7.386164,7.41288,7.464489,7.433981,7.345439,7.332114,7.341075,7.34547,7.349226,7.383697,7.381952,7.400129,7.396242,7.397632,7.429369,7.41817,7.462381,7.464128,7.446156,7.408698,7.348841,7.309252,7.284723,7.278501,7.266599,7.262748,7.28074,7.297324,7.305299,7.314066,7.21951,7.120409,7.08377,7.060714,7.046113,7.03585,7.032639,7.030915,7.044492,7.051451,7.051472,7.049798,7.044134,7.042962,NaN,NaN,NaN,NaN
Action 12,OPL,3.106836,3.106728,3.107714,3.117251,3.127213,3.201012,3.201012,3.308125,3.377434,3.447195,3.706867,3.910159,3.910159,4.122704,4.228037,4.520189,4.755559,4.817465,4.817465,4.903212,4.950647,4.973542,4.979033,4.977565,4.955187,4.922159,4.919841,4.913861,4.866233,4.866233,4.847984,4.864722,4.864756,4.864756,4.821482,4.832657,4.839533,4.818048,4.808136,4.813083,4.851058,4.875083,4.878433,4.885082,4.873848,4.951777,4.917835,4.910799,4.929741,4.887825,4.831263,4.815718,4.732597,4.626376,4.495936,4.338859,4.157338,3.949339,3.737769,3.531632,3.349052,3.192081,3.063503,2.978732,2.929947,2.942858,2.963401,3.000654,3.029839,3.048637,3.058388,3.059793,3.060284,3.060058,3.058496,3.059308,3.057385,3.056281,3.05332,3.052012,NaN,NaN,NaN,NaN
Action 12,OYL,6.629016,6.630211,6.629755,6.627634,6.625962,6.612257,6.612257,6.622131,6.625767,6.631381,6.65204,6.675877,6.675877,6.705983,6.721599,6.778397,6.842904,6.864297,6.864297,6.900221,6.923607,6.943744,6.958836,6.965853,6.987147,7.001172,7.01712,7.024402,7.04231,7.04231,7.050452,7.051867,7.058452,7.058452,7.062536,7.061771,7.065612,7.052313,7.001135,6.992116,6.996415,6.984335,6.973758,6.970254,6.963175,6.964208,6.958957,6.950503,6.955457,6.952041,6.952362,6.958151,6.967087,6.96639,6.959563,6.93751,6.906909,6.882743,6.853615,6.798547,6.713781,6.60635,6.484332,6.382249,6.302546,6.196931,6.171228,6.223834,6.263235,6.305895,6.349601,6.387105,6.405437,6.414395,6.416966,6.422002,6.431273,6.437995,6.460383,6.468619,NaN,NaN,NaN,NaN
Action 12,ORR,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,2.968901,NaN,NaN,NaN,NaN
Action 12,OPR,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,3.067453,NaN,NaN,NaN,NaN
Action 12,OYR,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,4.668088,NaN,NaN,NaN,NaN
